Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Bat
IT Botham (Eng),1978-1992,31,36,3,1329,149*,40.27,6,3,1,7
BJ Haddin (Aus),2008-2015,62,92,13,3010,169,38.1,4,18,4,7
Sarfraz Ahmed (Pak),2010-2015,19,28,3,933,112,37.32,3,4,0,7
Moin Khan (Pak),1991-2004,38,41,3,1366,137,35.94,3,7,3,7
Imran Khan (Pak),1974-1990,51,63,10,1845,123,34.81,2,11,5,7
JM Parks (Eng),1960-1966,27,34,3,1046,108*,33.74,1,6,1,7
PJL Dujon (WI),1981-1991,55,69,6,2113,139,33.53,4,10,2,7
A Flintoff (Eng/ICC),1998-2009,39,52,3,1628,142,33.22,2,9,6,7
BJ Watling (NZ),2013-2016,24,37,3,1109,142*,32.61,2,5,4,7
SM Pollock (SA),1997-2006,36,49,11,1231,92,32.39,0,9,5,7
Sir RJ Hadlee (NZ),1973-1990,37,48,4,1415,151*,32.15,1,7,3,7
Mushfiqur Rahim (Ban),2007-2011,16,25,1,768,101,32,1,3,1,7
GE Gomez (WI),1948-1954,19,21,3,565,70,31.38,0,5,2,7
BB McCullum (NZ),2004-2013,28,41,2,1222,115,31.33,2,7,6,7
Kamran Akmal (Pak),2003-2010,31,43,4,1220,158*,31.28,3,6,6,7
N Kapil Dev (India),1978-1994,81,96,6,2785,163,30.94,5,13,7,7
MS Dhoni (India),2005-2014,71,103,9,2871,110,30.54,2,20,8,7
HAPW Jayawardene (SL),2006-2015,43,55,5,1509,154*,30.18,2,4,4,7
PA Patel (India),2002-2008,17,23,5,533,62*,29.61,0,2,2,7
KJ Wadsworth (NZ),1969-1976,23,31,3,814,80,29.07,0,5,2,7
RD Jacobs (WI),1998-2004,52,76,15,1767,118,28.96,3,9,9,7
Rashid Latif (Pak),1993-2002,15,22,4,512,150,28.44,1,1,2,7
RC Russell (Eng),1989-1998,37,49,9,1118,128*,27.95,2,3,7,7
IA Healy (Aus),1988-1999,90,120,11,3036,161*,27.85,4,17,14,7
G Miller (Eng),1977-1984,21,27,1,724,98,27.84,0,5,1,7
RS Kaluwitharana (SL),1992-2004,34,47,3,1186,132*,26.95,2,6,2,7
GO Jones (Eng),2004-2006,30,39,3,960,100,26.66,1,6,1,7
RW Marsh (Aus),1970-1983,84,123,9,3009,132,26.39,3,12,11,7
DL Murray (WI),1963-1980,38,51,2,1239,91,25.28,0,7,0,7
MV Boucher (SA),1998-2012,92,119,9,2770,95,25.18,0,17,11,7
JR Murray (WI),1993-2002,27,34,4,755,101*,25.16,1,2,6,7
Abdul Razzaq (Pak),2000-2006,23,33,2,779,90,25.12,0,4,3,7
AC Parore (NZ),1992-2002,34,47,6,1023,100*,24.95,1,3,3,7
DAJ Holford (WI),1966-1976,20,24,5,469,105*,24.68,1,1,2,7
ED Solkar (India),1969-1976,16,20,3,416,67,24.47,0,3,0,7
D Ramdin (WI),2005-2015,51,79,9,1702,166,24.31,3,6,6,7
SMH Kirmani (India),1976-1985,31,35,2,791,64,23.96,0,4,3,7
S Madan Lal (India),1974-1983,15,20,5,356,55*,23.73,0,1,1,7
AK Davidson (Aus),1953-1963,16,22,1,488,80,23.23,0,2,0,7
Wasim Akram (Pak),1987-1999,24,29,4,577,123,23.08,1,0,1,7
Intikhab Alam (Pak),1961-1975,21,28,2,600,138,23.07,1,2,3,7
PR Downton (Eng),1984-1988,16,20,3,386,74,22.7,0,2,2,7
R Illingworth (Eng),1959-1973,28,38,4,771,107,22.67,1,2,4,7
R Benaud (Aus),1952-1964,29,37,1,788,122,21.88,1,3,3,7
WK Lees (NZ),1976-1983,16,28,2,564,152,21.69,1,0,3,7
CC Lewis (Eng),1991-1996,13,21,0,444,117,21.14,1,1,3,7
C White (Eng),1995-2002,18,23,1,461,121,20.95,1,1,4,7
NR Mongia (India),1994-2001,22,30,5,522,80,20.88,0,3,3,7
CS Baugh (WI),2003-2012,17,25,2,463,68,20.13,0,3,1,7
HH Streak (Zim),1996-2005,17,27,1,522,83*,20.07,0,3,2,7
TG Evans (Eng),1947-1959,56,69,3,1294,104,19.6,1,6,10,7
DJ Richardson (SA),1992-1997,18,23,2,407,93,19.38,0,3,2,7
WAS Oldfield (Aus),1928-1937,16,20,3,311,52,18.29,0,1,2,7
Khaled Mashud (Ban),2000-2007,29,47,6,700,51,17.07,0,2,7,7
MV Boucher (ICC/SA),1998-2012,42,45,9,1362,122*,37.83,2,10,5,8
MJ Prior (Eng),2007-2014,25,22,5,620,118,36.47,2,3,4,8
DL Vettori (NZ),1997-2011,43,61,10,1848,140,36.23,3,11,4,8
PR Reiffel (Aus),1993-1998,17,24,8,560,79*,35,0,5,3,8
Kamran Akmal (Pak),2002-2010,22,28,2,874,154,33.61,3,2,3,8
N Kapil Dev (India),1978-1993,57,58,5,1777,116,33.52,2,11,6,8
PA Strang (Zim),1995-2000,18,23,7,534,106*,33.37,1,1,3,8
R Ashwin (India),2011-2015,25,36,6,983,124,32.76,2,4,2,8
SM Pollock (SA),1995-2008,60,79,21,1796,99*,30.96,0,6,3,8
RC Russell (Eng),1989-1998,18,20,6,422,64*,30.14,0,1,1,8
RG Nadkarni (India),1959-1968,16,20,4,472,78*,29.5,0,3,1,8
CL Cairns (NZ),1989-2004,23,28,2,760,82,29.23,0,7,2,8
KJ O'Keeffe (Aus),1971-1977,16,23,6,491,85,28.88,0,1,2,8
D Ramdin (WI),2005-2013,16,20,4,461,71,28.81,0,5,1,8
SMH Kirmani (India),1976-1986,38,43,7,1030,102,28.61,1,4,2,8
IK Pathan (India),2004-2008,17,20,2,514,102,28.55,1,2,3,8
IDS Smith (NZ),1982-1991,29,35,5,847,113*,28.23,1,5,3,8
JE Emburey (Eng),1980-1993,26,31,4,752,75,27.85,0,7,6,8
Sir RJ Hadlee (NZ),1973-1990,41,53,8,1235,103,27.44,1,6,5,8
Imran Khan (Pak),1971-1988,24,30,4,706,135*,27.15,1,0,1,8
BR Taylor (NZ),1965-1973,16,22,2,539,124,26.95,2,1,2,8
AK Davidson (Aus),1953-1963,19,22,3,504,77*,26.52,0,2,1,8
DJ Richardson (SA),1992-1998,21,27,4,606,109,26.34,1,3,5,8
IA Healy (Aus),1988-1999,35,43,9,872,71,25.64,0,3,3,8
KS More (India),1986-1993,21,23,4,487,73,25.63,0,2,3,8
MG Hughes (Aus),1989-1994,21,26,5,525,71,25,0,1,2,8
SCJ Broad (Eng),2007-2013,43,54,7,1128,76,24,0,8,7,8
TG Evans (Eng),1947-1957,32,41,6,833,104,23.8,1,2,4,8
CC Lewis (Eng),1990-1996,21,24,2,523,75*,23.77,0,2,3,8
APE Knott (Eng),1967-1981,27,33,3,705,92,23.5,0,5,3,8
MG Johnson (Aus),2009-2015,49,67,7,1385,123*,23.08,1,8,13,8
Harbhajan Singh (India),2001-2015,40,54,4,1146,115,22.92,2,5,8,8
WPUJC Vaas (SL),1995-2009,58,82,16,1475,90,22.34,0,6,7,8
MW Tate (Eng),1924-1931,17,20,0,446,54,22.3,0,4,2,8
Moin Khan (Pak),1990-2004,28,31,4,600,105,22.22,1,3,2,8
DJG Sammy (WI),2007-2013,29,45,1,938,106,21.31,1,3,7,8
PAJ DeFreitas (Eng),1986-1995,16,21,1,422,88,21.1,0,3,2,8
MD Marshall (WI),1980-1991,61,75,10,1365,92,21,0,7,12,8
R Illingworth (Eng),1958-1973,25,28,4,498,113,20.75,1,1,2,8
Wasim Akram (Pak),1986-2000,43,51,3,990,100,20.62,1,2,8,8
AF Giles (Eng),2000-2006,32,40,6,700,52,20.58,0,1,4,8
KD Ghavri (India),1974-1979,22,28,4,482,64,20.08,0,1,0,8
